#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,117,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,190,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.043374000,0.026133000, 5.787247
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
0,-34.868000000,8.787507707,6400,8.787532806,6400,0.000286152,8.787529380,6400,0.000246631
1,-39.257000000,8.777905246,6401,8.777927399,6401,0.000247528,8.777926974,6401,0.000247528
2,-40.319000000,8.714909994,6402,8.714928627,6402,0.000214276,8.714928668,6402,0.000214276
3,-38.407000000,8.682000270,6403,8.682024956,6403,0.000288406,8.682025310,6403,0.000288406
4,-38.582000000,8.626489305,6404,8.626514435,6404,0.000289131,8.626514247,6404,0.000289131
5,-39.486000000,8.589897213,6405,8.589917183,6405,0.000235810,8.589917469,6405,0.000235810
6,-39.048000000,8.558315811,6406,8.558336258,6406,0.000237328,8.558336123,6406,0.000237328
7,-39.798000000,8.517857262,6407,8.517876625,6407,0.000232514,8.517877067,6407,0.000232514
8,-39.784000000,8.455829537,6408,8.455848694,6408,0.000223862,8.455848467,6408,0.000223862
9,-38.807000000,8.388939742,6409,8.388960838,6409,0.000251729,8.388960860,6409,0.000251729
10,-41.341000000,8.349149525,6410,8.349168777,6410,0.000229793,8.349168711,6410,0.000229793
11,-40.516000000,8.261596309,6411,8.261619568,6411,0.000286023,8.261623633,6411,0.000330735
12,-41.289000000,8.191922000,6412,8.191942215,6412,0.000241479,8.191945507,6412,0.000286955
13,-38.260000000,8.130901997,6413,8.130923271,6413,0.000257657,8.130926700,6413,0.000303817
14,-38.438000000,8.086301356,6414,8.086318970,6414,0.000214241,8.086322455,6414,0.000260912
15,-40.100000000,8.048037380,6415,8.048052788,6415,0.000187588,8.048056269,6415,0.000234704
16,-37.240000000,7.997751679,6416,7.997771740,6416,0.000252912,7.997777630,6416,0.000324478
17,-36.639000000,7.983743287,6417,7.983763218,6417,0.000252301,7.983772987,6417,0.000371996
18,-37.310000000,8.001584136,6418,8.001600266,6418,0.000199574,8.001609640,6418,0.000318736
19,-38.665000000,8.069606183,6419,8.069620132,6419,0.000176959,8.069635590,6419,0.000364417
20,-37.810000000,8.124489706,6420,8.124504089,6420,0.000178301,8.124513582,6420,0.000293885
21,-38.150000000,8.139222799,6421,8.139241219,6421,0.000230693,8.139250949,6421,0.000345858
22,-42.578000000,8.177108259,6422,8.177124023,6422,0.000192148,8.177138900,6422,0.000374709
23,-40.068000000,8.177189669,6423,8.177204132,6423,0.000177832,8.177219139,6423,0.000360390
24,-37.910000000,8.216079624,6424,8.216096878,6424,0.000205584,8.216111372,6424,0.000386418
25,-38.555000000,8.223733843,6425,8.223753929,6425,0.000242968,8.223768667,6425,0.000423465
26,-37.833000000,8.254896243,6426,8.254918098,6426,0.000267658,8.254933125,6426,0.000446795
27,-37.644000000,8.248660528,6427,8.248677254,6427,0.000205337,8.248692264,6427,0.000384745
28,-38.535000000,8.311934959,6427,8.311908722,6427,0.000313492,8.311932767,6427,0.000026374
29,-43.254000000,8.305033370,6429,8.305049896,6429,0.000193665,8.305064152,6429,0.000370645
30,-41.539000000,8.309480751,6429,8.309450150,6429,0.000364819,8.309476145,6429,0.000055433
31,-43.215000000,8.340251117,6430,8.340221405,6430,0.000354404,8.340247173,6430,0.000047296
32,-40.802000000,8.330978285,6432,8.330991745,6432,0.000163422,8.331017541,6432,0.000471212
