#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.207665000,0.116868000,14.937824
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
0,-34.868000000,8.787507707,6400,8.787532806,6400,0.000286152,8.366600265,6400,4.789838667
1,-39.257000000,8.777905246,6401,8.777927399,6401,0.000247528,8.602325267,6402,2.000249192
2,-40.319000000,8.714909994,6402,8.714928627,6402,0.000214276,8.944271910,6401,2.631833445
3,-38.407000000,8.682000270,6403,8.682024956,6403,0.000288406,8.485281374,6403,2.265824578
4,-38.582000000,8.626489305,6404,8.626514435,6404,0.000289131,8.366600265,6404,3.012686044
5,-39.486000000,8.589897213,6405,8.589917183,6405,0.000235810,8.602325267,6404,0.144682215
6,-39.048000000,8.558315811,6406,8.558336258,6406,0.000237328,8.831760866,6406,3.195080212
7,-39.798000000,8.517857262,6407,8.517876625,6407,0.000232514,8.602325267,6408,0.991657904
8,-39.784000000,8.455829537,6408,8.455848694,6408,0.000223862,8.124038405,6408,3.923815295
9,-38.807000000,8.388939742,6409,8.388960838,6409,0.000251729,8.124038405,6410,3.157745148
10,-41.341000000,8.349149525,6410,8.349168777,6410,0.000229793,8.485281374,6410,1.630487616
11,-40.516000000,8.261596309,6411,8.261619568,6411,0.000286023,8.124038405,6411,1.665028149
12,-41.289000000,8.191922000,6412,8.191942215,6412,0.000241479,8.124038405,6412,0.828665060
13,-38.260000000,8.130901997,6413,8.130923271,6413,0.000257657,8.124038405,6412,0.084413659
14,-38.438000000,8.086301356,6414,8.086318970,6414,0.000214241,8.124038405,6415,0.466678726
15,-40.100000000,8.048037380,6415,8.048052788,6415,0.000187588,8.124038405,6416,0.944342336
16,-37.240000000,7.997751679,6416,7.997771740,6416,0.000252912,8.000000000,6417,0.028111910
17,-36.639000000,7.983743287,6417,7.983763218,6417,0.000252301,7.874007874,6417,1.374485746
18,-37.310000000,8.001584136,6418,8.001600266,6418,0.000199574,7.874007874,6417,1.594387564
19,-38.665000000,8.069606183,6419,8.069620132,6419,0.000176959,7.874007874,6419,2.423889153
20,-37.810000000,8.124489706,6420,8.124504089,6420,0.000178301,7.745966692,6419,4.659037390
21,-38.150000000,8.139222799,6421,8.139241219,6421,0.000230693,8.000000000,6422,1.710517109
22,-42.578000000,8.177108259,6422,8.177124023,6422,0.000192148,8.246211251,6423,0.845078598
23,-40.068000000,8.177189669,6423,8.177204132,6423,0.000177832,8.000000000,6422,2.166877327
24,-37.910000000,8.216079624,6424,8.216096878,6424,0.000205584,8.124038405,6424,1.120257149
25,-38.555000000,8.223733843,6425,8.223753929,6425,0.000242968,8.366600265,6426,1.737245215
26,-37.833000000,8.254896243,6426,8.254918098,6426,0.000267658,8.246211251,6425,0.105210181
27,-37.644000000,8.248660528,6427,8.248677254,6427,0.000205337,8.000000000,6426,3.014556450
28,-38.535000000,8.311934959,6427,8.311908722,6427,0.000313492,8.000000000,6428,3.752856110
29,-43.254000000,8.305033370,6429,8.305049896,6429,0.000193665,8.124038405,6428,2.179340618
30,-41.539000000,8.309480751,6429,8.309450150,6429,0.000364819,8.246211251,6429,0.761413396
31,-43.215000000,8.340251117,6430,8.340221405,6430,0.000354404,8.124038405,6430,2.592400511
32,-40.802000000,8.330978285,6432,8.330991745,6432,0.000163422,8.246211251,6432,1.017491949
33,-39.744000000,8.347371825,6432,8.347344398,6432,0.000326327,8.246211251,6432,1.211885317
34,-39.459000000,8.376683005,6433,8.376652718,6433,0.000366058,8.246211251,6434,1.557558682
35,-39.559000000,8.409202668,6434,8.409182549,6434,0.000236193,8.366600265,6434,0.506616436
36,-39.145000000,8.429248978,6436,8.429262161,6436,0.000155786,8.485281374,6435,0.664737702
37,-38.389000000,8.443593433,6436,8.443565369,6436,0.000334766,8.602325267,6436,1.879908540
